priority,suggested_action,company,file,domain,current_email,current_status,cohort_tags,site_finding,fallback_inbox,notes
A1,STAMP verified — own email already published on site,1813 Estudio,past,1813estudio.com,info@1813estudio.com,(none),_reactivationMode,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Apima,2026-05-27,apima.com.ar,distrbucionapima@gmail.com,(none),_revivedFromPilot,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Buenavida Films,past,buenavidafilms.com,buenavidapro@gmail.com,(none),_reactivationMode,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Caudiovisual,2026-05-27,caudiovisual.com,contacto@caudiovisual.com,(none),_revivedFromPilot,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Caudiovisual,past,caudiovisual.com,contacto@caudiovisual.com,(none),_revivedFromPilot,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Estudio Diverge,past,estudiodiverge.com,contacto@estudiodiverge.com,(none),_reactivationMode,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Fábrica Visual,past,fabricavisual.com.mx,eduardo@fabricavisual.com.mx,(none),_reactivationMode,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Gen Contenido,2026-05-27,gencontenido.com,laura@gencontenido.com,(none),_revivedFromPilot,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Iconica,2026-05-27,iconica.tv,hola@iconica.tv,(none),_recoveredFrom,website_published(confirmed),,
A1,STAMP verified — own email already published on site,PáramoFilms,past,paramofilms.co,direccion@paramofilms.co,(none),_reactivationMode,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Paranova Films,past,paranovafilms.com,paranovafilms@gmail.com,(none),_reactivationMode,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Red Noise Films,past,rednoisefilms.com,info@rednoisefilms.com,(none),_reactivationMode,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Sinapsis Producción,past,sinapsisproduccion.com,info@sinapsisproduccion.com,(none),_reactivationMode,website_published(confirmed),,
A1,STAMP verified — own email already published on site,Thau Honduras,past,thauhonduras.com,thaudesignhn@gmail.com,(none),_reactivationMode,website_published(confirmed),,
A2,FILL — existing was empty; review suggested site email,Zeta Positivo Animation Studio,2026-05-27,zetapositivo.com.ar,,(none),_revivedFromPilot,website_published(set):info@zetapositivo.com.ar,,DUPLICATE across -27 and -past
A2,FILL — existing was empty; review suggested site email,Zeta Positivo Animation Studio,past,zetapositivo.com.ar,,(none),_revivedFromPilot,website_published(set):info@zetapositivo.com.ar,,DUPLICATE across -27 and -past
B1,KEEP existing email as primary; verified site inbox available as fallback,2btube,2026-05-27,2btube.com,fabienne@2btube.com,(none),_revivedFromPilot,kept_existing(fallback=info@2btube.com),info@2btube.com,
B1,KEEP existing email as primary; verified site inbox available as fallback,Audioenlace Producciones,past,audioenlacepro.com,aoviedo@audioenlacepro.com,(none),_reactivationMode,kept_existing(fallback=info@audioenlacepro.com),info@audioenlacepro.com,
B1,KEEP existing email as primary; verified site inbox available as fallback,Buena Movida,past,buenamovida.com,produccion@buenamovida.com,(none),_reactivationMode,kept_existing(fallback=plannermanager@buenamovida.com),plannermanager@buenamovida.com,
B1,KEEP existing email as primary; verified site inbox available as fallback,Cinematres,past,cinematres.com.ar,pablomeza@cinematres.com.ar,(none),_reactivationMode,kept_existing(fallback=info@cinematres.com.ar),info@cinematres.com.ar,
B1,KEEP existing email as primary; verified site inbox available as fallback,Haddock Films,past,haddockfilms.com,vanessa.ragone@haddockfilms.com,(none),_reactivationMode,kept_existing(fallback=info@haddockfilms.com),info@haddockfilms.com,
B1,KEEP existing email as primary; verified site inbox available as fallback,House of Brands,2026-05-27,housebrands.es,javi@housebrands.es,(none),_revivedFromPilot,kept_existing(fallback=info@housebrands.es),info@housebrands.es,
B1,KEEP existing email as primary; verified site inbox available as fallback,House of Brands,past,housebrands.es,javi@housebrands.es,(none),_revivedFromPilot,kept_existing(fallback=info@housebrands.es),info@housebrands.es,
